message,timestamp,datetime,timestamp_desc,report,attribution
Domain google.de was resolving to 173.194.41.63,1413496800000,2014-10-17T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.45.247,1413669600000,2014-10-19T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.45.248,1413669600000,2014-10-19T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.45.255,1413669600000,2014-10-19T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.45.47,1412373600000,2014-10-04T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.45.55,1412373600000,2014-10-04T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.45.56,1376517600000,2013-08-15T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.45.63,1412373600000,2014-10-04T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.45.79,1412460000000,2014-10-05T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.45.87,1412460000000,2014-10-05T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.45.88,1412460000000,2014-10-05T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.45.95,1376344800000,2013-08-13T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.64.94,1380146400000,2013-09-26T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.66.94,1373925600000,2013-07-16T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.68.94,1367186400000,2013-04-29T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.69.94,1448924400000,2015-12-01T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.72.94,1380232800000,2013-09-27T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.74.94,1544144960000,2018-12-07T02:09:20+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.75.94,1444600800000,2015-10-12T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.76.94,1368655200000,2013-05-16T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.77.94,1380232800000,2013-09-27T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.194.78.94,1366408800000,2013-04-20T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.252.100.32,1538110599000,2018-09-28T06:56:39+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 173.252.110.21,1544116814000,2018-12-06T18:20:14+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 174.37.54.20,1545276060000,2018-12-20T04:21:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 199.59.148.14,1543821905000,2018-12-03T08:25:05+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 209.85.145.94,1540667477000,2018-10-27T21:11:17+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 209.85.146.94,1443045600000,2015-09-24T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 209.85.147.94,1545204287000,2018-12-19T08:24:47+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 209.85.200.94,1542534223000,2018-11-18T10:43:43+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 209.85.234.94,1545378358000,2018-12-21T08:45:58+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.193.163,1530822517000,2018-07-05T22:28:37+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.195.3,1536857870000,2018-09-13T18:57:50+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.198.195,1508277600000,2017-10-18T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.201.227,1504735200000,2017-09-07T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.204.131,1535466816000,2018-08-28T16:33:36+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.204.227,1533868148000,2018-08-10T04:29:08+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.204.99,1505685600000,2017-09-18T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.205.3,1506549600000,2017-09-28T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.206.227,1504648800000,2017-09-06T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.207.35,1539860203000,2018-10-18T12:56:43+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.207.67,1539889652000,2018-10-18T21:07:32+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.208.195,1424041200000,2015-02-16T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.208.227,1424559600000,2015-02-22T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.208.35,1539284611000,2018-10-11T21:03:31+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.209.227,1542205490000,2018-11-14T15:24:50+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.211.67,1420758000000,2015-01-09T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.211.99,1421276400000,2015-01-15T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.212.227,1539707217000,2018-10-16T18:26:57+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.213.131,1535908331000,2018-09-02T19:12:11+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.213.163,1544872946000,2018-12-15T12:22:26+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.214.35,1539786309000,2018-10-17T16:25:09+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.214.67,1539317604000,2018-10-12T06:13:24+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.215.35,1536936113000,2018-09-14T16:41:53+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.217.163,1532036698000,2018-07-19T23:44:58+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.217.227,1532459064000,2018-07-24T21:04:24+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.218.3,1532036218000,2018-07-19T23:36:58+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 216.58.219.35,1495144800000,2017-05-19T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 31.13.70.1,1540154476000,2018-10-21T22:41:16+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 31.13.80.1,1544153232000,2018-12-07T04:27:12+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 31.13.83.16,1540108287000,2018-10-21T09:51:27+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 31.13.84.16,1543436968000,2018-11-28T21:29:28+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 64.13.192.76,1541268448000,2018-11-03T19:07:28+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 64.233.160.94,1400709600000,2014-05-22T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 64.233.168.94,1402437600000,2014-06-11T00:00:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 64.233.176.94,1531924384000,2018-07-18T16:33:04+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 64.233.177.94,1531232150000,2018-07-10T16:15:50+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 64.233.181.94,1534134097000,2018-08-13T06:21:37+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 64.233.182.94,1538015220000,2018-09-27T04:27:00+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 64.233.183.94,1541394072000,2018-11-05T06:01:12+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 64.233.185.94,1530681669000,2018-07-04T07:21:09+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
Domain google.de was resolving to 64.233.191.94,1544942146000,2018-12-16T07:35:46+00:00,VT_Domain_to_ip,http://anyurl.com,APT0815
